username,has_profile_pic,followers,following,post_count,follow_ratio,bio_length,contains_link,suspicious_keywords_present,mentions_count,emoji_in_bio,is_verified,digit_count_in_username,label
_.ak._believer__,TRUE,22,356,12,0.06,71,FALSE,FALSE,0,TRUE,FALSE,0,1
itz_darshan_preet,TRUE,650,5435,46,0.12,144,FALSE,FALSE,1,TRUE,FALSE,0,1
yeah_ali_01,FALSE,142,109,2,1.3,89,FALSE,FALSE,0,TRUE,FALSE,2,1
_nouman_k,TRUE,705,664,0,1.06,76,FALSE,FALSE,0,TRUE,FALSE,0,1
sakthiiii.21,TRUE,342,313,0,1.09,0,FALSE,FALSE,0,FALSE,FALSE,2,1
____.faizzzz,TRUE,559,666,1,0.84,26,FALSE,FALSE,0,TRUE,FALSE,0,1
sugel.dilip_,TRUE,578,526,0,1.1,6,FALSE,FALSE,0,FALSE,FALSE,0,1
_mhfzz_04,TRUE,159,364,0,0.44,29,FALSE,FALSE,0,TRUE,FALSE,2,1
aymaan._.shaikh,TRUE,190,178,0,1.07,21,FALSE,FALSE,0,TRUE,FALSE,0,1
prathyush.27_,TRUE,563,525,0,1.07,17,FALSE,FALSE,1,TRUE,FALSE,2,1
really_not_sharon,TRUE,772,787,3,0.98,17,FALSE,FALSE,0,TRUE,FALSE,0,1
siddhigaikd,TRUE,405,538,17,0.75,23,FALSE,FALSE,0,TRUE,FALSE,0,1
_.prernaa,TRUE,519,758,0,0.68,0,FALSE,FALSE,0,FALSE,FALSE,0,1
arbaz_bargir,TRUE,238,666,197,0.36,114,FALSE,FALSE,1,TRUE,FALSE,0,1
krishnaaaa_099,FALSE,550,528,0,1.04,1,FALSE,FALSE,0,TRUE,FALSE,3,1
aafan__0,TRUE,339,775,35,0.44,150,FALSE,FALSE,0,TRUE,FALSE,1,1
904fa.him,TRUE,354,351,3,1.01,0,FALSE,FALSE,0,FALSE,FALSE,3,1
kay_.patil,TRUE,803,954,3,0.84,42,FALSE,FALSE,0,TRUE,FALSE,0,1
arfaanshahh,TRUE,397,385,53,1.03,3,FALSE,FALSE,0,TRUE,FALSE,0,1
rehan_thakur87,FALSE,194,506,3,0.38,0,FALSE,FALSE,0,FALSE,FALSE,2,1
balaji_56890,TRUE,60,210,13,0.29,0,FALSE,FALSE,0,FALSE,FALSE,5,1
darshan____1909,TRUE,266,229,0,1.16,72,FALSE,FALSE,0,TRUE,FALSE,4,1
piy.639,FALSE,5,27,0,0.19,0,FALSE,FALSE,0,FALSE,FALSE,3,1
nihaltandel776,TRUE,355,415,5,0.86,51,FALSE,FALSE,0,TRUE,FALSE,3,1
prajwalpatill7,TRUE,581,639,3,0.91,125,FALSE,FALSE,1,TRUE,FALSE,1,1
vnrnrnr,FALSE,45,1378,57,0.03,0,FALSE,FALSE,0,FALSE,FALSE,0,1
irl.amaan,TRUE,286,611,0,0.47,58,FALSE,FALSE,2,TRUE,FALSE,0,1
muhib_hodekar_,TRUE,6454,1761,292,3.66,99,TRUE,FALSE,0,TRUE,FALSE,0,1
sohban_kotawadekar,TRUE,104,153,0,0.68,0,FALSE,FALSE,0,FALSE,FALSE,0,1
